"petition_number","cert_wrkrs_pet","partic_pet","partic_rate"
65196,35,15,0.428571428571429
65198,55,69,1
65199,1101,49,0.0445049954586739
65200,24,11,0.458333333333333
65205,25,3,0.12
65209,210,127,0.604761904761905
65215,54,11,0.203703703703704
65216,51,19,0.372549019607843
65220,20,26,1
65228,35,5,0.142857142857143
65230,98,20,0.204081632653061
65232,56,9,0.160714285714286
65235,12,15,1
65236,313,266,0.849840255591054
65240,9,8,0.888888888888889
65242,57,13,0.228070175438596
65245,93,80,0.860215053763441
65246,128,49,0.3828125
65249,12,49,1
65250,94,9,0.0957446808510638
65257,16,11,0.6875
65258,346,279,0.80635838150289
65260,180,17,0.0944444444444444
65262,1397,108,0.0773085182534001
65268,62,7,0.112903225806452
65269,210,32,0.152380952380952
65270,130,30,0.230769230769231
65271,60,31,0.516666666666667
65272,75,92,1
65279,20,3,0.15
65286,326,21,0.0644171779141104
65290,13,4,0.307692307692308
65293,30,19,0.633333333333333
65296,125,52,0.416
65302,146,37,0.253424657534247
65304,310,58,0.187096774193548
65310,8,3,0.375
65314,30,14,0.466666666666667
65316,18,4,0.222222222222222
65319,20,16,0.8
65321,30,79,1
65323,127,88,0.692913385826772
65327,11,8,0.727272727272727
65330,4,3,0.75
65333,26,15,0.576923076923077
65334,42,14,0.333333333333333
65337,131,53,0.404580152671756
65341,36,7,0.194444444444444
65344,58,9,0.155172413793103
65353,42,19,0.452380952380952
65355,7,5,0.714285714285714
65363,31,9,0.290322580645161
65371,26,12,0.461538461538462
65373,169,81,0.479289940828402
65382,5,7,1
65387,10,15,1
65393,18,8,0.444444444444444
65397,43,66,1
65398,14,3,0.214285714285714
65399,25,6,0.24
65402,27,10,0.37037037037037
65414,284,210,0.73943661971831
65415,163,43,0.263803680981595
65421,228,33,0.144736842105263
65423,104,52,0.5
65427,36,4,0.111111111111111
65430,0,106,1
65437,482,686,1
65440,12,10,0.833333333333333
65448,19,12,0.631578947368421
65449,115,65,0.565217391304348
65461,76,55,0.723684210526316
65472,73,12,0.164383561643836
65473,142,33,0.232394366197183
65475,124,58,0.467741935483871
65477,9,6,0.666666666666667
65483,20,11,0.55
65484,85,31,0.364705882352941
65489,97,18,0.185567010309278
65490,51,24,0.470588235294118
