petition_number,cert_wrkrs_pet,partic_pet
71187,20,7
71188,265,158
71189,55,9
71193,631,362
71194,340,41
71196,55,23
71199,243,126
71201,156,59
71202,224,210
71203,40,6
71205,246,194
71206,101,41
71207,263,144
71208,355,167
71210,306,96
71211,122,11
71212,61,26
71216,180,24
71217,34,14
71219,149,31
71221,16,13
71222,97,24
71224,73,43
71225,136,24
71226,180,76
71228,291,74
71229,134,17
71231,42,19
71236,149,12
71237,52,30
71242,122,193
71243,46,3
71245,161,22
71246,103,37
71247,119,19
71248,6,58
71249,1268,364
71251,17,5
71255,550,21
71256,75,21
71260,90,31
71263,1906,612
71265,63,35
71267,1046,357
71268,33,19
71269,25,4
71270,16,20
71272,7488,206
71273,40,5
71274,38,5
71278,21,8
71283,46,10
71287,86,392
71289,15,7
71291,222,86
71292,230,36
71293,50,6
71298,151,54
71300,60,7
71305,203,78
71309,106,35
71310,248,22
71313,145,61
71316,62,47
71318,43,19
71320,50,18
71321,4,33
71327,196,35
71329,268,186
71330,144,24
71332,20,4
71333,133,20
71334,21,72
71339,33,4
71342,128,11
71343,136,42
71344,79,13
71345,51,37
71347,128,43
71348,25,14
71351,171,102
71354,35,13
71355,59,7
71357,239,16
71358,30,16
71361,164,102
71363,205,20
71366,439,16
71368,124,72
71369,11,4
71370,70,54
71371,91,9
71373,3,5
71374,347,22
71376,47,7
71377,142,6
71378,683,17
71380,181,3
71386,47,20
71389,108,30
71391,5,7
71392,104,21
71395,58,33
71398,956,108
71400,540,4
71401,19,13
71402,90,17
71403,372,183
71405,56,10
71406,52,60
71407,41,32
71409,48,12
71410,155,132
71412,21,6
71414,180,17
71416,136,16
71417,8,5
71418,24,10
71424,565,207
71427,193,61
71430,157,37
71431,61,6
71433,188,7
71435,159,7
71437,25,9
71438,98,25
71441,207,13
71442,76,51
71445,31,3
71446,742,10
71447,481,180
71449,49,18
71450,16,11
71451,19,8
71453,72,9
71455,130,12
71457,39,9
71458,131,33
71459,800,157
71460,94,61
71461,30,6
71462,65,16
71465,23,18
71470,127,6
71471,221,23
71473,15,11
71476,106,21
71478,46,16
71479,41,23
71480,133,73
71482,491,99
71484,47,26
71485,33,7
71487,38,5
71491,44,11
71493,54,10
71495,400,6
71497,35,22
71499,760,13
71500,55,13
71501,1342,274
71502,49,11
71505,767,108
71507,40,9
71510,77,15
71513,106,6
71517,31,10
71518,76,13
71519,136,20
71520,62,13
71522,49,8
71523,78,64
71524,35,166
71525,85,45
71526,437,217
71527,130,4
71528,15,7
71529,455,20
71530,446,14
71531,67,8
71532,544,18
71534,91,64
71535,160,111
71536,132,90
71537,12,3
71539,16,5
71547,188,7
71548,170,4
71551,292,46
71554,39,46
71563,15,3
71565,147,12
71569,160,34
71570,20,17
71572,1860,236
71575,81,7
71576,114,18
71578,37,7
71581,144,28
71583,100,5
71586,179,7
71587,213,18
71593,14,44
71594,712,104
71595,340,96
71598,64,20
71599,135,16
71600,504,19
71601,85,9
71602,79,16
71605,270,107
71608,4,4
71609,5,4
71610,310,68
71611,257,7
71614,111,27
71618,1183,300
71624,56,19
71625,100,12
71626,48,38
71627,52,7
71632,46,27
71635,340,79
71637,5,3
71638,50,6
71640,17,23
71642,37,19
71644,87,59
71645,32,8
71647,90,19
71648,29,8
71650,215,23
71652,39,38
71655,84,13
71656,35,40
71658,74,12
71659,65,9
71660,92,14
71661,4,4
71662,144,259
71663,211,140
71664,64,17
71666,39,34
71668,22,56
71670,360,42
71671,396,45
71674,137,3
71676,59,10
71677,3,3
71678,394,164
71679,37,29
71680,50,11
71681,50,3
71682,321,50
71683,260,54
71684,8,3
71685,79,6
71686,223,41
71688,272,154
71691,35,7
71692,40,7
71693,277,83
71697,312,328
71698,246,30
71699,317,82
71700,3,7
71702,1919,447
71704,30,4
71705,290,90
71707,644,322
71710,61,7
71713,47,25
71716,54,9
71717,25,10
71719,19,5
71720,197,120
71721,27,12
71722,130,91
71725,1388,439
71726,85,13
71727,213,85
71729,30,5
71732,69,12
71736,25,5
71738,61,35
71739,79,24
71742,120,10
71743,269,61
71746,29,8
71751,417,6
71752,15,3
71753,30,20
71754,119,60
71755,254,50
71756,70,17
71759,3100,93
71760,34,16
71761,59,18
71763,1350,22
71764,149,51
71765,21,6
71768,118,13
71770,40,47
71772,127,29
71773,46,58
71775,38,34
71777,259,73
71778,127,32
71779,35,10
71782,39,17
71783,310,75
71784,6,12
71786,254,95
71787,45,9
71790,125,224
71794,409,30
71796,36,5
71797,333,18
71798,28,6
71799,51,14
71800,67,46
71801,60,123
71802,91,49
71803,377,10
71805,131,3
71806,100,11
71807,125,52
71808,14,7
71810,243,15
71811,75,20
71812,127,7
71814,6,5
71815,14,4
71819,378,72
71820,86,3
71821,26,13
71822,220,131
71823,8,5
71825,79,11
71830,300,36
71831,303,84
71834,29,22
71837,6,10
71839,20,3
71841,78,36
71842,19,5
71844,125,68
71845,40,33
71846,63,7
71847,61,25
